CITY,CITY AREA (PER KMSQ),date,MANAGEMENT_TYPE,TRAFFIC_VOLUME,SPEED,METRO TRIPS,BUS TRIPS,TOTAL PUBLIC TRANSPORT TRIP,AQI_mean,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,POPULATION DENSITY,Day_of_Week,Holiday_Flag,Season,congestion_index
LONDON,1572,3/22/2016,AI- MANAGEMENT SYSTEM,34411.33333,30,480975,834125,1315100,45,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,3948.4
LONDON,1572,3/23/2016,AI- MANAGEMENT SYSTEM,35747.83333,22,451830,872074,1323904,37,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Spring,387.8181818
LONDON,1572,3/24/2016,AI- MANAGEMENT SYSTEM,24311.66667,14,410329,811462,1221791,29,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2950.571429
LONDON,1572,3/25/2016,AI- MANAGEMENT SYSTEM,23866.59328,14.88888889,413347.5556,811241.5556,1224589.111,29.88888889,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2820.873016
LONDON,1572,3/26/2016,AI- MANAGEMENT SYSTEM,23421.51989,15.77777778,416366.1111,811021.1111,1227387.222,30.77777778,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2691.174603
LONDON,1572,3/27/2016,AI- MANAGEMENT SYSTEM,22976.4465,16.66666667,419384.6667,810800.6667,1230185.333,31.66666667,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2561.47619
LONDON,1572,3/28/2016,AI- MANAGEMENT SYSTEM,22531.37311,17.55555556,422403.2222,810580.2222,1232983.444,32.55555556,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2431.777778
LONDON,1572,3/29/2016,AI- MANAGEMENT SYSTEM,22086.29973,18.44444444,425421.7778,810359.7778,1235781.556,33.44444444,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2302.079365
LONDON,1572,3/30/2016,AI- MANAGEMENT SYSTEM,21641.22634,19.33333333,428440.3333,810139.3333,1238579.667,34.33333333,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2172.380952
LONDON,1572,3/31/2016,AI- MANAGEMENT SYSTEM,21196.15295,20.22222222,431458.8889,809918.8889,1241377.778,35.22222222,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2042.68254
LONDON,1572,4/1/2016,AI- MANAGEMENT SYSTEM,20751.07956,21.11111111,434477.4444,809698.4444,1244175.889,36.11111111,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1912.984127
LONDON,1572,4/2/2016,AI- MANAGEMENT SYSTEM,20306.00617,22,437496,809478,1246974,37,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1783.285714
LONDON,1572,4/3/2016,AI- MANAGEMENT SYSTEM,19860.93278,22.88888889,440514.5556,809257.5556,1249772.111,37.88888889,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1653.587302
LONDON,1572,4/4/2016,AI- MANAGEMENT SYSTEM,19415.8594,23.77777778,443533.1111,809037.1111,1252570.222,38.77777778,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1523.888889
LONDON,1572,4/5/2016,AI- MANAGEMENT SYSTEM,18970.78601,24.66666667,446551.6667,808816.6667,1255368.333,39.66666667,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1394.190476
LONDON,1572,4/6/2016,AI- MANAGEMENT SYSTEM,18525.71262,25.55555556,449570.2222,808596.2222,1258166.444,40.55555556,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1264.492063
LONDON,1572,4/7/2016,AI- MANAGEMENT SYSTEM,18080.63923,26.44444444,452588.7778,808375.7778,1260964.556,41.44444444,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1134.793651
LONDON,1572,4/8/2016,AI- MANAGEMENT SYSTEM,17635.56584,27.33333333,455607.3333,808155.3333,1263762.667,42.33333333,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,1005.095238
LONDON,1572,4/9/2016,AI- MANAGEMENT SYSTEM,17190.49246,28.22222222,458625.8889,807934.8889,1266560.778,43.22222222,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,875.3968254
LONDON,1572,4/10/2016,AI- MANAGEMENT SYSTEM,16745.41907,29.11111111,461644.4444,807714.4444,1269358.889,44.11111111,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,745.6984127
LONDON,1572,4/11/2016,AI- MANAGEMENT SYSTEM,16300.34568,30,464663,807494,1272157,45,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,616
LONDON,1572,4/12/2016,AI- MANAGEMENT SYSTEM,19511.57843,21,398126,810777,1208903,36,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,184.1904762
LONDON,1572,4/13/2016,AI- MANAGEMENT SYSTEM,25868.43333,27,430512,792485,1222997,42,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,1,Spring,1773.777778
LONDON,1572,4/14/2016,AI- MANAGEMENT SYSTEM,20671.48039,37,443063,818832,1261895,52,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,469.1891892
LONDON,1572,4/15/2016,AI- MANAGEMENT SYSTEM,20181.27604,19,448572,832240,1280812,34,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,1,Spring,920.6315789
LONDON,1572,4/16/2016,AI- MANAGEMENT SYSTEM,19803.53588,19,426926.3333,831681.3333,1258607.667,34,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,1,Spring,781.6842105
LONDON,1572,4/17/2016,AI- MANAGEMENT SYSTEM,19425.79572,19,405280.6667,831122.6667,1236403.333,34,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,1,Spring,642.7368421
LONDON,1572,4/18/2016,AI- MANAGEMENT SYSTEM,19048.05556,19,383635,830564,1214199,34,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,1,Spring,503.7894737
LONDON,1572,4/19/2016,AI- MANAGEMENT SYSTEM,19448.90681,15,423521,819075,1242596,30,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,1,Spring,1214.133333
LONDON,1572,4/20/2016,AI- MANAGEMENT SYSTEM,33004.73118,20,447636,757660,1205296,35,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Spring,508
LONDON,1572,4/21/2016,AI- MANAGEMENT SYSTEM,24499.02198,17,415989,815047,1231036,32,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,1,Spring,3637.647059
LONDON,1572,4/22/2016,AI- MANAGEMENT SYSTEM,21965.06746,38,438518,824540,1263058,53,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,1,Spring,183.8947368
LONDON,1572,4/23/2016,AI- MANAGEMENT SYSTEM,19633.73016,37.33333333,439060,826940.6667,1266000.667,52.33333333,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,307.7816764
LONDON,1572,4/24/2016,AI- MANAGEMENT SYSTEM,17302.39286,36.66666667,439602,829341.3333,1268943.333,51.66666667,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,431.668616
LONDON,1572,4/25/2016,AI- MANAGEMENT SYSTEM,14971.05556,36,440144,831742,1271886,51,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,555.5555556
LONDON,1572,4/26/2016,AI- MANAGEMENT SYSTEM,20856.32051,35,415140,819750,1234890,50,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,1227.428571
LONDON,1572,4/27/2016,AI- MANAGEMENT SYSTEM,27429.33333,18,431331,782613,1213944,33,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Spring,551.1111111
LONDON,1572,4/28/2016,AI- MANAGEMENT SYSTEM,22558.67333,37,448810,863490,1312300,52,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,603.2432432
LONDON,1572,4/29/2016,AI- MANAGEMENT SYSTEM,27717.14444,27,438616,839137,1277753,42,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,4142.222222
LONDON,1572,4/30/2016,AI- MANAGEMENT SYSTEM,26733.96439,24.25,426298.5,821771.25,1248069.75,39.25,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,3476.666667
LONDON,1572,5/1/2016,AI- MANAGEMENT SYSTEM,25750.78434,21.5,413981,804405.5,1218386.5,36.5,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,2811.111111
LONDON,1572,5/2/2016,AI- MANAGEMENT SYSTEM,24767.60429,18.75,401663.5,787039.75,1188703.25,33.75,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,2145.555556
LONDON,1572,5/3/2016,AI- MANAGEMENT SYSTEM,23784.42424,16,389346,769674,1159020,31,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,1,Spring,1480
LONDON,1572,5/4/2016,AI- MANAGEMENT SYSTEM,27896.02128,19,458556,831050,1289606,34,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,1,Spring,696.2105263
LONDON,1572,5/5/2016,AI- MANAGEMENT SYSTEM,21617.73593,24,425773,884391,1310164,39,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,1,Spring,1510
LONDON,1572,5/6/2016,AI- MANAGEMENT SYSTEM,18862.28571,35,441866,776675,1218541,50,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,1,Spring,409.9428571
LONDON,1572,5/7/2016,AI- MANAGEMENT SYSTEM,19560.7532,32.33333333,433284.6667,783735.6667,1217020.333,47.33333333,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,337.492769
LONDON,1572,5/8/2016,AI- MANAGEMENT SYSTEM,20259.22069,29.66666667,424703.3333,790796.3333,1215499.667,44.66666667,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,265.0426808
LONDON,1572,5/9/2016,AI- MANAGEMENT SYSTEM,20957.68817,27,416122,797857,1213979,42,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,192.5925926
LONDON,1572,5/10/2016,AI- MANAGEMENT SYSTEM,36160.51852,24,424777,762052,1186829,39,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,5351.166667
LONDON,1572,5/11/2016,AI- MANAGEMENT SYSTEM,25935.62821,19,413683,809426,1223109,34,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Spring,2223.157895
LONDON,1572,5/12/2016,AI- MANAGEMENT SYSTEM,35142.625,16,467417,770941,1238358,31,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,9290
LONDON,1572,5/13/2016,AI- MANAGEMENT SYSTEM,27959.65152,22,411243,825873,1237116,37,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,4710.363636
LONDON,1572,5/14/2016,AI- MANAGEMENT SYSTEM,28803.36101,23.66666667,408323.3333,807203,1215526.333,38.66666667,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,3263.699214
LONDON,1572,5/15/2016,AI- MANAGEMENT SYSTEM,29647.07051,25.33333333,405403.6667,788533,1193936.667,40.33333333,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,1817.034792
LONDON,1572,5/16/2016,AI- MANAGEMENT SYSTEM,30490.78,27,402484,769863,1172347,42,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,370.3703704
LONDON,1572,5/17/2016,AI- MANAGEMENT SYSTEM,24448.26042,32,419269,796861,1216130,47,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,372.5
LONDON,1572,5/18/2016,AI- MANAGEMENT SYSTEM,19486.75694,23,434012,830178,1264190,38,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Spring,2997.043478
LONDON,1572,5/19/2016,AI- MANAGEMENT SYSTEM,29984.68421,39,419621,757676,1177297,54,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Spring,2515.589744
LONDON,1572,5/20/2016,AI- MANAGEMENT SYSTEM,22420.38889,39,424216,814555,1238771,54,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,1267.692308
LONDON,1572,5/21/2016,AI- MANAGEMENT SYSTEM,21186.91876,33,426623.6667,811626,1238249.667,48,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,1414.461538
LONDON,1572,5/22/2016,AI- MANAGEMENT SYSTEM,19953.44863,27,429031.3333,808697,1237728.333,42,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,1561.230769
LONDON,1572,5/23/2016,AI- MANAGEMENT SYSTEM,18719.97849,21,431439,805768,1237207,36,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Spring,1708
LONDON,1572,5/24/2016,AI- MANAGEMENT SYSTEM,23317.47312,20,461275,799877,1261152,35,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Spring,213.4
LONDON,1572,5/25/2016,AI- MANAGEMENT SYSTEM,34340.76882,14,423901,813531,1237432,29,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,2,1,Spring,8220.857143
LONDON,1572,5/26/2016,AI- MANAGEMENT SYSTEM,20160.39855,29,427715,754038,1181753,44,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,3,1,Spring,937.9310345
LONDON,1572,5/27/2016,AI- MANAGEMENT SYSTEM,18229.22222,26,437013,752437,1189450,41,20.5,16.1,25,1.8,0,307,6.2,31.5,1013.8,0,5523.832173,4,1,Spring,563.0769231
LONDON,1572,5/28/2016,AI- MANAGEMENT SYSTEM,18575.6636,26.7,434431.7,756514.5,1190946.2,41.7,20.5,16.1,25,1.62,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,527.1328671
LONDON,1572,5/29/2016,AI- MANAGEMENT SYSTEM,18922.10497,27.4,431850.4,760592,1192442.4,42.4,20.5,16.1,25,1.44,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,491.1888112
LONDON,1572,5/30/2016,AI- MANAGEMENT SYSTEM,19268.54635,28.1,429269.1,764669.5,1193938.6,43.1,20.5,16.1,25,1.26,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,455.2447552
LONDON,1572,5/31/2016,AI- MANAGEMENT SYSTEM,19614.98772,28.8,426687.8,768747,1195434.8,43.8,20.5,16.1,25,1.08,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,419.3006993
LONDON,1572,6/1/2016,AI- MANAGEMENT SYSTEM,19961.42909,29.5,424106.5,772824.5,1196931,44.5,20.5,16.1,25,0.9,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,383.3566434
LONDON,1572,6/2/2016,AI- MANAGEMENT SYSTEM,20307.87047,30.2,421525.2,776902,1198427.2,45.2,20.5,16.1,25,0.72,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,347.4125874
LONDON,1572,6/3/2016,AI- MANAGEMENT SYSTEM,20654.31184,30.9,418943.9,780979.5,1199923.4,45.9,20.5,16.1,25,0.54,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,311.4685315
LONDON,1572,6/4/2016,AI- MANAGEMENT SYSTEM,21000.75322,31.6,416362.6,785057,1201419.6,46.6,20.5,16.1,25,0.36,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,275.5244755
LONDON,1572,6/5/2016,AI- MANAGEMENT SYSTEM,21347.19459,32.3,413781.3,789134.5,1202915.8,47.3,20.5,16.1,25,0.18,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Spring,239.5804196
LONDON,1572,6/6/2016,AI- MANAGEMENT SYSTEM,21693.63596,33,411200,793212,1204412,48,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Summer,203.6363636
LONDON,1572,6/7/2016,AI- MANAGEMENT SYSTEM,33796.72667,19,440699,734113,1174812,34,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Summer,990.9473684
LONDON,1572,6/8/2016,AI- MANAGEMENT SYSTEM,21469.62016,33,418022,800683,1218705,48,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Summer,384.6060606
LONDON,1572,6/9/2016,AI- MANAGEMENT SYSTEM,19817.07843,23,373704,739275,1112979,38,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Summer,361.7391304
LONDON,1572,6/10/2016,AI- MANAGEMENT SYSTEM,26822.03788,30,390709,800962,1191671,45,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,282.6666667
LONDON,1572,6/11/2016,AI- MANAGEMENT SYSTEM,25856.12568,25,397373.6667,801661.6667,1199035.333,40,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,538.0444444
LONDON,1572,6/12/2016,AI- MANAGEMENT SYSTEM,24890.21348,20,404038.3333,802361.3333,1206399.667,35,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,793.4222222
LONDON,1572,6/13/2016,AI- MANAGEMENT SYSTEM,23924.30128,15,410703,803061,1213764,30,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Summer,1048.8
LONDON,1572,6/14/2016,AI- MANAGEMENT SYSTEM,37089.94086,35,436272,782505,1218777,50,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Summer,3463.657143
LONDON,1572,6/15/2016,AI- MANAGEMENT SYSTEM,22346.91156,21,370496,795051,1165547,36,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Summer,2919.428571
LONDON,1572,6/16/2016,AI- MANAGEMENT SYSTEM,30425.24713,18,412824,822925,1235749,33,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Summer,448.8888889
LONDON,1572,6/17/2016,AI- MANAGEMENT SYSTEM,19651.0963,14,372015,763459,1135474,29,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,872.2857143
LONDON,1572,6/18/2016,AI- MANAGEMENT SYSTEM,21989.70241,13.66666667,386588,758233.6667,1144821.667,28.66666667,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,703.2673993
LONDON,1572,6/19/2016,AI- MANAGEMENT SYSTEM,24328.30852,13.33333333,401161,753008.3333,1154169.333,28.33333333,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,534.2490842
LONDON,1572,6/20/2016,AI- MANAGEMENT SYSTEM,26666.91463,13,415734,747783,1163517,28,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Summer,365.2307692
LONDON,1572,6/21/2016,AI- MANAGEMENT SYSTEM,24498.5847,27,388953,767816,1156769,42,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Summer,526.3703704
LONDON,1572,6/22/2016,AI- MANAGEMENT SYSTEM,23081.63964,19,431794,771035,1202829,34,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Summer,1887.789474
LONDON,1572,6/23/2016,AI- MANAGEMENT SYSTEM,37639.88435,30,426253,774858,1201111,45,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Summer,887.0666667
LONDON,1572,6/24/2016,AI- MANAGEMENT SYSTEM,36579.21264,17,416268,795215,1211483,32,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,720
LONDON,1572,6/25/2016,AI- MANAGEMENT SYSTEM,32543.05791,24,406907.3333,779418.6667,1186326,39,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,641.1578947
LONDON,1572,6/26/2016,AI- MANAGEMENT SYSTEM,28506.90317,31,397546.6667,763622.3333,1161169,46,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,562.3157895
LONDON,1572,6/27/2016,AI- MANAGEMENT SYSTEM,24470.74843,38,388186,747826,1136012,53,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Summer,483.4736842
LONDON,1572,6/28/2016,AI- MANAGEMENT SYSTEM,21542.67965,16,418906,833752,1252658,31,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Summer,1546.75
LONDON,1572,6/29/2016,AI- MANAGEMENT SYSTEM,20693.36364,22,434108,768961,1203069,37,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Summer,109.0909091
LONDON,1572,6/30/2016,AI- MANAGEMENT SYSTEM,20680.99495,16,421775,726126,1147901,31,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Summer,286.75
LONDON,1572,7/1/2016,AI- MANAGEMENT SYSTEM,25114.68254,38,385076,721593,1106669,53,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,219.6842105
LONDON,1572,7/2/2016,AI- MANAGEMENT SYSTEM,26374.63967,35.66666667,393040.6667,734161.6667,1127202.333,50.66666667,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,246.2410866
LONDON,1572,7/3/2016,AI- MANAGEMENT SYSTEM,27634.59679,33.33333333,401005.3333,746730.3333,1147735.667,48.33333333,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,272.7979626
LONDON,1572,7/4/2016,AI- MANAGEMENT SYSTEM,28894.55392,31,408970,759299,1168269,46,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,0,0,Summer,299.3548387
LONDON,1572,7/5/2016,AI- MANAGEMENT SYSTEM,25633.73333,35,405847,749574,1155421,50,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,1,0,Summer,3901.714286
LONDON,1572,7/6/2016,AI- MANAGEMENT SYSTEM,25994.84362,28,359176,736987,1096163,43,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,2,0,Summer,502.8571429
LONDON,1572,7/7/2016,AI- MANAGEMENT SYSTEM,23791.18721,27,372557,716352,1088909,42,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,3,0,Summer,276.5925926
LONDON,1572,7/8/2016,AI- MANAGEMENT SYSTEM,31522.55952,19,389260,698472,1087732,34,20.5,16.1,25,0,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,2109.473684
LONDON,1572,7/9/2016,AI- MANAGEMENT SYSTEM,31483.97212,19.03278689,388438.0492,697493.6721,1085931.721,34.03278689,20.5,16.1,25,0.036065574,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,2155.828917
LONDON,1572,7/10/2016,AI- MANAGEMENT SYSTEM,31445.38471,19.06557377,387616.0984,696515.3443,1084131.443,34.06557377,20.5,16.1,25,0.072131148,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,2202.184149
LONDON,1572,7/11/2016,AI- MANAGEMENT SYSTEM,31406.7973,19.09836066,386794.1475,695537.0164,1082331.164,34.09836066,20.5,16.1,25,0.108196721,0,307,6.2,31.5,1013.8,0,5523.832173,4,0,Summer,2248.539381
